Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,cuda:0,7443.29,0.009904,528.613,6913.91,4.61179,0.756789
q11.sql,2,cuda:0,37.0883,0.006567,36.8343,0.175103,4.42616,0.072252
q11.sql,3,cuda:0,37.1018,0.007112,36.8179,0.197787,3.53177,0.079019
q11.sql,4,cuda:0,37.1142,0.008083,36.8334,0.194855,3.44194,0.077888
q11.sql,5,cuda:0,37.0982,0.005718,36.8275,0.191058,3.41248,0.073923
q12.sql,1,cuda:0,7121.95,0.013242,311.799,6809,4.43482,1.1424
q12.sql,2,cuda:0,31.7064,0.008672,31.4319,0.190876,4.15914,0.074936
q12.sql,3,cuda:0,31.6988,0.008767,31.3986,0.203951,3.75578,0.087414
q12.sql,4,cuda:0,31.7021,0.006471,31.4222,0.197145,3.53297,0.076292
q12.sql,5,cuda:0,31.7155,0.006415,31.4208,0.212079,3.52756,0.076196
q13.sql,1,cuda:0,6858.28,0.013471,29.0003,6828.11,4.21847,1.15742
q13.sql,2,cuda:0,31.1443,0.009308,30.8057,0.239874,4.17965,0.089389
q13.sql,3,cuda:0,31.1587,0.008602,30.8304,0.222869,3.58626,0.096907
q13.sql,4,cuda:0,31.1171,0.007047,30.8142,0.216376,3.54558,0.079391
q13.sql,5,cuda:0,31.1277,0.007959,30.8467,0.194314,3.63735,0.078798
q21.sql,1,cuda:0,9429.73,0.008508,803.301,7589.24,12.0097,1037.17
q21.sql,2,cuda:0,39.7706,0.004801,39.2917,0.367839,22.6224,0.106297
q21.sql,3,cuda:0,40.3422,0.004673,39.3993,0.711478,15.1675,0.22669
q21.sql,4,cuda:0,39.7274,0.004659,39.2004,0.403303,15.0726,0.119039
q21.sql,5,cuda:0,39.7059,0.005587,39.2577,0.338096,14.8037,0.104476
q22.sql,1,cuda:0,8317.21,0.009066,219.406,7134.43,16.3108,963.357
q22.sql,2,cuda:0,33.9288,0.011737,32.9495,0.756177,17.5785,0.211386
q22.sql,3,cuda:0,33.6836,0.007071,33.165,0.399468,15.6629,0.111983
q22.sql,4,cuda:0,33.6662,0.006032,33.1803,0.364626,21.651,0.115262
q22.sql,5,cuda:0,33.6773,0.007399,33.1285,0.428531,15.4734,0.112864
q23.sql,1,cuda:0,8923.29,0.008885,640.162,6980.03,23.2805,1303.09
q23.sql,2,cuda:0,33.9368,0.0078,33.3741,0.383235,23.2327,0.171676
q23.sql,3,cuda:0,33.8936,0.004852,33.0819,0.65673,34.7037,0.150084
q23.sql,4,cuda:0,33.7587,0.004623,32.9394,0.692969,18.4767,0.121752
q23.sql,5,cuda:0,33.8372,0.035871,33.0439,0.60667,20.1791,0.150766
q31.sql,1,cuda:0,8367.91,0.009472,251.984,6865.08,11.5878,1250.84
q31.sql,2,cuda:0,44.9314,0.00554,44.3985,0.40414,12.6755,0.123207
q31.sql,3,cuda:0,44.9799,0.005207,44.4344,0.423812,17.5461,0.116557
q31.sql,4,cuda:0,44.8508,0.005786,44.2517,0.394285,11.9246,0.199021
q31.sql,5,cuda:0,44.7548,0.004617,44.2449,0.397168,11.8621,0.108099
q32.sql,1,cuda:0,8089.36,0.008587,11.5216,6857.52,14.2376,1220.31
q32.sql,2,cuda:0,35.0282,0.005066,34.4811,0.426946,12.7848,0.115043
q32.sql,3,cuda:0,35.1821,0.005935,34.4701,0.493274,12.2052,0.212765
q32.sql,4,cuda:0,34.9768,0.005243,34.4535,0.384479,11.8799,0.133544
q32.sql,5,cuda:0,34.9462,0.005296,34.4138,0.413221,11.7468,0.113839
q33.sql,1,cuda:0,8756.58,0.013413,8.60556,7520.56,9.63127,1227.4
q33.sql,2,cuda:0,32.2913,0.008078,31.5828,0.483281,13.642,0.217149
q33.sql,3,cuda:0,32.1333,0.007085,31.6205,0.375664,12.8199,0.130035
q33.sql,4,cuda:0,32.1192,0.006595,31.5955,0.394929,12.3921,0.122107
q33.sql,5,cuda:0,32.1984,0.009525,31.6598,0.380141,12.3393,0.148955
q34.sql,1,cuda:0,8071.14,0.023814,8.67395,6848.21,13.0987,1214.23
q34.sql,2,cuda:0,32.115,0.005472,31.5184,0.46438,13.1385,0.126704
q34.sql,3,cuda:0,32.1002,0.005711,31.5336,0.438349,12.4626,0.122496
q34.sql,4,cuda:0,32.2247,0.008255,31.5604,0.452506,14.6618,0.203509
q34.sql,5,cuda:0,32.0454,0.00517,31.5227,0.405783,12.2834,0.111722
q41.sql,1,cuda:0,8428.67,0.014937,669.047,6819.62,22.3532,939.991
q41.sql,2,cuda:0,54.476,0.006876,53.762,0.574663,22.7217,0.132471
q41.sql,3,cuda:0,54.4059,0.006023,53.7829,0.493817,21.5215,0.123177
q41.sql,4,cuda:0,54.3978,0.006436,53.836,0.430703,12.1823,0.124667
q41.sql,5,cuda:0,54.3862,0.006332,53.7986,0.468122,17.444,0.113178
q42.sql,1,cuda:0,9320.88,0.017511,548.028,7561.64,20.7389,1211.2
q42.sql,2,cuda:0,48.526,0.009824,47.7921,0.571208,21.8555,0.152898
q42.sql,3,cuda:0,48.446,0.006732,47.8226,0.476415,19.2676,0.140231
q42.sql,4,cuda:0,48.6041,0.011713,47.9308,0.460922,19.2193,0.200643
q42.sql,5,cuda:0,48.3199,0.006161,47.7533,0.435652,19.3908,0.124766
q43.sql,1,cuda:0,9482.72,0.013393,269.808,7722.4,20.5127,1490.51
q43.sql,2,cuda:0,41.1306,0.006258,40.1932,0.787322,19.6348,0.143776
q43.sql,3,cuda:0,41.1905,0.005524,40.4074,0.652588,19.454,0.124951
q43.sql,4,cuda:0,41.2171,0.00604,40.3896,0.693396,19.8681,0.128086
q43.sql,5,cuda:0,41.9992,0.021832,41.0563,0.504291,19.1221,0.416736
