Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,cuda:0,7316.2,0.011566,14.7459,7300.82,9.46916,0.618856
q11.sql,2,cuda:0,37.4595,0.009428,36.7596,0.561553,5.04282,0.128875
q11.sql,3,cuda:0,37.2372,0.008903,36.8447,0.273439,4.36252,0.11022
q11.sql,4,cuda:0,37.26,0.013808,36.4835,0.614367,3.95217,0.148355
q11.sql,5,cuda:0,37.2836,0.007875,36.7552,0.413955,2.20891,0.106644
q12.sql,1,cuda:0,7803.03,0.018393,436.959,7364.73,3.59592,1.3178
q12.sql,2,cuda:0,32.1283,0.018889,31.3899,0.58235,4.94348,0.137112
q12.sql,3,cuda:0,31.9019,0.008597,31.31,0.485359,1.87594,0.097946
q12.sql,4,cuda:0,31.8771,0.009712,31.3255,0.443615,3.51998,0.098247
q12.sql,5,cuda:0,31.7753,0.007495,31.4333,0.256926,3.53179,0.07754
q13.sql,1,cuda:0,7323.84,0.032794,28.5219,7293.95,4.53696,1.33663
q13.sql,2,cuda:0,31.5375,0.013107,30.7827,0.557901,5.19572,0.183747
q13.sql,3,cuda:0,31.2217,0.011557,30.7943,0.31125,3.69344,0.10452
q13.sql,4,cuda:0,31.1122,0.00747,30.8282,0.200024,2.92412,0.07645
q13.sql,5,cuda:0,31.2983,0.011511,30.6112,0.561511,4.10644,0.114063
q21.sql,1,cuda:0,8752.82,0.009639,771.088,6912.82,17.6554,1068.9
q21.sql,2,cuda:0,41.0859,0.009853,39.5863,1.07853,16.7384,0.411232
q21.sql,3,cuda:0,39.8415,0.004272,39.1547,0.521484,15.7177,0.16108
q21.sql,4,cuda:0,39.6651,0.003775,39.1219,0.440783,20.3459,0.0987
q21.sql,5,cuda:0,39.9677,0.006213,39.0712,0.738242,19.1037,0.15202
q22.sql,1,cuda:0,8877.48,0.013811,237.536,7687.65,22.261,952.281
q22.sql,2,cuda:0,33.9407,0.006597,33.2068,0.477962,20.5642,0.249289
q22.sql,3,cuda:0,33.6532,0.006393,33.1353,0.395329,20.4354,0.116121
q22.sql,4,cuda:0,33.6681,0.006342,33.1468,0.400442,15.7057,0.114511
q22.sql,5,cuda:0,33.6202,0.006051,33.0699,0.431317,15.4938,0.112991
q23.sql,1,cuda:0,8375.47,0.009667,605.339,6748.83,23.9098,1021.29
q23.sql,2,cuda:0,33.7658,0.005288,33.0946,0.52409,26.8369,0.141818
q23.sql,3,cuda:0,33.8087,0.006255,33.1124,0.565505,30.7256,0.124522
q23.sql,4,cuda:0,33.6718,0.004275,33.1251,0.427223,20.4969,0.115162
