Query,Total_ms,Kernel_ms,Parse_ms
q11,0.0000,0.0000,0.0000
q12,0.0000,0.0000,0.0000
q13,0.0000,0.0000,0.0000
q21,0.0000,0.0000,0.0000
q22,0.0000,0.0000,0.0000
q23,0.0000,0.0000,0.0000
q31,0.0000,0.0000,0.0000
q32,0.0000,0.0000,0.0000
q33,0.0000,0.0000,0.0000
q34,0.0000,0.0000,0.0000
q41,0.0000,0.0000,0.0000
q42,0.0000,0.0000,0.0000
q43,0.0000,0.0000,0.0000
