Query,Device,AvgTime_ms
q11.sql,NVIDIA L40S,60.4308
q12.sql,NVIDIA L40S,63.9792
q13.sql,NVIDIA L40S,65.452
q21.sql,NVIDIA L40S,57.7384
q22.sql,NVIDIA L40S,52.5237
q23.sql,NVIDIA L40S,61.1754
q31.sql,NVIDIA L40S,64.9964
q32.sql,NVIDIA L40S,51.6924
q33.sql,NVIDIA L40S,50.202
q34.sql,NVIDIA L40S,50.2542
q41.sql,NVIDIA L40S,86.5844
q42.sql,NVIDIA L40S,75.3603
q43.sql,NVIDIA L40S,64.4618
