Query,CPU_ms,GPU_ms
q33,66.3413,13.7299
q11,73.0987,12.7584
q34,57.9966,13.7923
q12,29.9429,12.7553
q41,169.429,21.914
q13,21.1652,12.7334
q21,228.253,13.0243
q42,175.05,20.9298
q22,93.4185,13.2596
q43,108.87,21.4968
q23,59.2952,13.1655
q31,145.562,13.9293
q32,87.4877,14.5732
q33,56.303,13.7594
q34,55.1218,13.7771
q41,160.085,21.935
q42,130.595,20.9293
q43,99.7889,21.5201
